Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
Manama,PM2.5 - Principal,2017-01-01 01:00 AM,2017,01,01,01,164,4,81.0,79.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 02:00 AM,2017,01,01,02,166,4,83.7,78.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 03:00 AM,2017,01,01,03,167,4,86.0,71.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 04:00 AM,2017,01,01,04,167,4,86.1,69.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 05:00 AM,2017,01,01,05,166,4,84.4,66.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 06:00 AM,2017,01,01,06,165,4,82.9,60.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 07:00 AM,2017,01,01,07,164,4,81.4,62.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 08:00 AM,2017,01,01,08,164,4,79.9,65.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 09:00 AM,2017,01,01,09,163,4,79.0,72.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 10:00 AM,2017,01,01,10,162,4,77.3,86.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 11:00 AM,2017,01,01,11,161,4,75.7,103.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 12:00 PM,2017,01,01,12,160,4,73.4,85.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 01:00 PM,2017,01,01,13,159,4,70.7,112.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 02:00 PM,2017,01,01,14,158,4,69.9,99.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 03:00 PM,2017,01,01,15,158,4,69.5,78.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 04:00 PM,2017,01,01,16,158,4,69.3,60.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 05:00 PM,2017,01,01,17,158,4,69.1,54.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 06:00 PM,2017,01,01,18,158,4,69.7,48.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 07:00 PM,2017,01,01,19,159,4,70.7,47.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 08:00 PM,2017,01,01,20,159,4,71.3,65.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 09:00 PM,2017,01,01,21,159,4,71.7,60.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 10:00 PM,2017,01,01,22,159,4,71.6,61.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 11:00 PM,2017,01,01,23,159,4,71.1,60.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 12:00 AM,2017,01,02,00,158,4,69.9,57.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 01:00 AM,2017,01,02,01,159,4,70.1,61.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 02:00 AM,2017,01,02,02,158,4,68.8,69.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 03:00 AM,2017,01,02,03,158,4,68.4,66.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 04:00 AM,2017,01,02,04,158,4,69.0,63.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 05:00 AM,2017,01,02,05,158,4,69.8,82.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 06:00 AM,2017,01,02,06,159,4,71.0,82.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 07:00 AM,2017,01,02,07,160,4,72.0,77.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 08:00 AM,2017,01,02,08,160,4,73.6,75.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 09:00 AM,2017,01,02,09,161,4,74.2,70.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 10:00 AM,2017,01,02,10,161,4,75.0,74.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 11:00 AM,2017,01,02,11,162,4,76.1,74.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 12:00 PM,2017,01,02,12,162,4,77.5,89.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 01:00 PM,2017,01,02,13,163,4,79.4,81.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 02:00 PM,2017,01,02,14,164,4,81.4,90.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 03:00 PM,2017,01,02,15,165,4,83.4,91.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 04:00 PM,2017,01,02,16,166,4,85.3,80.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 05:00 PM,2017,01,02,17,168,4,87.8,83.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 06:00 PM,2017,01,02,18,168,4,89.2,73.0,UG/M3,1 Hr,Valid
