Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
Kolkata,PM2.5 - Principal,2016-07-01 07:00 AM,2016,07,01,07,75,Moderate,23.5,27.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-01 08:00 AM,2016,07,01,08,76,Moderate,23.8,20.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-01 09:00 AM,2016,07,01,09,77,Moderate,24.5,19.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-01 10:00 AM,2016,07,01,10,79,Moderate,25.2,23.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-01 11:00 AM,2016,07,01,11,79,Moderate,25.2,23.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-01 12:00 PM,2016,07,01,12,79,Moderate,25.6,29.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-01 01:00 PM,2016,07,01,13,81,Moderate,26.2,31.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-01 02:00 PM,2016,07,01,14,80,Moderate,26.1,37.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-01 03:00 PM,2016,07,01,15,81,Moderate,26.4,39.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-01 04:00 PM,2016,07,01,16,81,Moderate,26.2,30.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-01 05:00 PM,2016,07,01,17,80,Moderate,26.1,23.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-01 06:00 PM,2016,07,01,18,81,Moderate,26.3,23.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-01 07:00 PM,2016,07,01,19,81,Moderate,26.6,33.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-01 08:00 PM,2016,07,01,20,81,Moderate,26.4,34.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-01 09:00 PM,2016,07,01,21,82,Moderate,26.8,41.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-01 10:00 PM,2016,07,01,22,83,Moderate,27.1,30.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-01 11:00 PM,2016,07,01,23,83,Moderate,27.4,24.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-02 12:00 AM,2016,07,02,00,83,Moderate,27.4,31.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-02 01:00 AM,2016,07,02,01,83,Moderate,27.5,20.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-02 02:00 AM,2016,07,02,02,83,Moderate,27.3,23.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-02 03:00 AM,2016,07,02,03,82,Moderate,26.9,17.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-02 04:00 AM,2016,07,02,04,81,Moderate,26.3,17.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-02 05:00 AM,2016,07,02,05,80,Moderate,26.0,20.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-02 06:00 AM,2016,07,02,06,80,Moderate,26.1,25.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-02 07:00 AM,2016,07,02,07,81,Moderate,26.2,22.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-02 08:00 AM,2016,07,02,08,80,Moderate,25.7,30.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-02 09:00 AM,2016,07,02,09,79,Moderate,25.4,26.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-02 10:00 AM,2016,07,02,10,79,Moderate,25.3,30.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-02 11:00 AM,2016,07,02,11,79,Moderate,25.5,24.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-02 12:00 PM,2016,07,02,12,79,Moderate,25.6,32.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-02 01:00 PM,2016,07,02,13,79,Moderate,25.3,26.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-02 02:00 PM,2016,07,02,14,80,Moderate,25.7,26.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-02 03:00 PM,2016,07,02,15,79,Moderate,25.6,25.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-02 04:00 PM,2016,07,02,16,80,Moderate,25.9,22.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-02 05:00 PM,2016,07,02,17,81,Moderate,26.3,27.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-02 06:00 PM,2016,07,02,18,81,Moderate,26.5,24.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-02 07:00 PM,2016,07,02,19,82,Moderate,26.7,22.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-02 08:00 PM,2016,07,02,20,82,Moderate,26.9,26.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-02 09:00 PM,2016,07,02,21,81,Moderate,26.6,39.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-07-02 10:00 PM,2016,07,02,22,81,Moderate,26.6,34.0,UG/M3,1 Hr,Valid
