Site,Parameter,Date (LT),Year,Month,Day,Hour,Raw Conc.,24-hr. Midpoint Avg. Conc.,24-hr. Midpoint Avg. AQI,24-hr. Midpoint Avg. AQI Category,NowCast Conc.,NowCast AQI,NowCast AQI Category,Conc. Unit,Duration,QC Name
Dhaka,PM2.5 - Principal,2016-11-01 01:00 AM,2016,11,01,01,123.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-01 02:00 AM,2016,11,01,02,137.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-01 03:00 AM,2016,11,01,03,166.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-01 04:00 AM,2016,11,01,04,76.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-01 05:00 AM,2016,11,01,05,68.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-01 06:00 AM,2016,11,01,06,63.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-01 07:00 AM,2016,11,01,07,67.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-01 08:00 AM,2016,11,01,08,64.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-01 09:00 AM,2016,11,01,09,36.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-01 10:00 AM,2016,11,01,10,35.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-01 11:00 AM,2016,11,01,11,31.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-01 12:00 PM,2016,11,01,12,32.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-01 01:00 PM,2016,11,01,13,21.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-01 02:00 PM,2016,11,01,14,25.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-01 03:00 PM,2016,11,01,15,34.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-01 04:00 PM,2016,11,01,16,36.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-01 05:00 PM,2016,11,01,17,36.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-01 06:00 PM,2016,11,01,18,44.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-01 07:00 PM,2016,11,01,19,54.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-01 08:00 PM,2016,11,01,20,54.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-01 09:00 PM,2016,11,01,21,54.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-01 10:00 PM,2016,11,01,22,46.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-01 11:00 PM,2016,11,01,23,44.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-02 12:00 AM,2016,11,02,00,53.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-02 01:00 AM,2016,11,02,01,55.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-02 02:00 AM,2016,11,02,02,54.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-02 03:00 AM,2016,11,02,03,84.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-02 04:00 AM,2016,11,02,04,73.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-02 05:00 AM,2016,11,02,05,80.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-02 06:00 AM,2016,11,02,06,68.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-02 07:00 AM,2016,11,02,07,87.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-02 08:00 AM,2016,11,02,08,59.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-02 09:00 AM,2016,11,02,09,42.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-02 10:00 AM,2016,11,02,10,33.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-02 11:00 AM,2016,11,02,11,29.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-02 12:00 PM,2016,11,02,12,35.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-02 01:00 PM,2016,11,02,13,36.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-02 02:00 PM,2016,11,02,14,33.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-02 03:00 PM,2016,11,02,15,39.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-02 04:00 PM,2016,11,02,16,37.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-02 05:00 PM,2016,11,02,17,49.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-02 06:00 PM,2016,11,02,18,49.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-02 07:00 PM,2016,11,02,19,61.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-02 08:00 PM,2016,11,02,20,64.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-02 09:00 PM,2016,11,02,21,42.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-02 10:00 PM,2016,11,02,22,37.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-02 11:00 PM,2016,11,02,23,31.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-03 12:00 AM,2016,11,03,00,57.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-03 01:00 AM,2016,11,03,01,56.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-03 02:00 AM,2016,11,03,02,52.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-03 03:00 AM,2016,11,03,03,45.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-03 04:00 AM,2016,11,03,04,44.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-03 05:00 AM,2016,11,03,05,40.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-03 06:00 AM,2016,11,03,06,43.0,,,,,,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2016-11-03 07:00 AM,2016,11,03,07,42.0,,,,,,,UG/M3,1 Hr,Valid
