Site,Parameter,Date (LT),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Chennai,PM2.5 - Principal,2015-12-01 09:00 AM,2015,12,01,09,25.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-01 10:00 AM,2015,12,01,10,29.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-01 11:00 AM,2015,12,01,11,29.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-01 12:00 PM,2015,12,01,12,47.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-01 01:00 PM,2015,12,01,13,55.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-01 02:00 PM,2015,12,01,14,26.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-01 03:00 PM,2015,12,01,15,31.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-01 04:00 PM,2015,12,01,16,23.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-01 05:00 PM,2015,12,01,17,36.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-01 06:00 PM,2015,12,01,18,29.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-01 07:00 PM,2015,12,01,19,16.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-01 08:00 PM,2015,12,01,20,6.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-01 09:00 PM,2015,12,01,21,20.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-01 10:00 PM,2015,12,01,22,6.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-01 11:00 PM,2015,12,01,23,16.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-02 12:00 AM,2015,12,02,00,15.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-02 01:00 AM,2015,12,02,01,2.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-02 02:00 AM,2015,12,02,02,0.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-02 03:00 AM,2015,12,02,03,-2.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-02 04:00 AM,2015,12,02,04,0.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-02 05:00 AM,2015,12,02,05,1.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-02 06:00 AM,2015,12,02,06,1.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-02 07:00 AM,2015,12,02,07,0.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-02 08:00 AM,2015,12,02,08,8.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-02 09:00 AM,2015,12,02,09,20.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-02 10:00 AM,2015,12,02,10,-999.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-02 11:00 AM,2015,12,02,11,-999.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-02 12:00 PM,2015,12,02,12,5.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-02 01:00 PM,2015,12,02,13,2.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-02 02:00 PM,2015,12,02,14,15.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-02 03:00 PM,2015,12,02,15,-999.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-02 04:00 PM,2015,12,02,16,11.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-02 05:00 PM,2015,12,02,17,12.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-02 06:00 PM,2015,12,02,18,11.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-02 07:00 PM,2015,12,02,19,20.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2015-12-02 08:00 PM,2015,12,02,20,30.0,UG/M3,1 Hr,Valid
