Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Hanoi,PM2.5 - Principal,2023-05-01 01:00 AM,2023,05,01,01,46.0,127,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-01 02:00 AM,2023,05,01,02,43.7,121,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-01 03:00 AM,2023,05,01,03,41.6,116,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-01 04:00 AM,2023,05,01,04,43.2,120,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-01 05:00 AM,2023,05,01,05,46.4,128,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-01 06:00 AM,2023,05,01,06,51.7,141,Unhealthy for Sensitive Groups,60.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-01 07:00 AM,2023,05,01,07,60.2,153,Unhealthy,69.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-01 08:00 AM,2023,05,01,08,62.8,155,Unhealthy,66.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-01 09:00 AM,2023,05,01,09,61.1,154,Unhealthy,59.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-01 10:00 AM,2023,05,01,10,60.6,154,Unhealthy,60.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-01 11:00 AM,2023,05,01,11,55.8,151,Unhealthy,50.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-01 12:00 PM,2023,05,01,12,52.3,142,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-01 01:00 PM,2023,05,01,13,49.9,136,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-01 02:00 PM,2023,05,01,14,48.1,132,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-01 03:00 PM,2023,05,01,15,42.9,119,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-01 04:00 PM,2023,05,01,16,37.6,106,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-01 05:00 PM,2023,05,01,17,41.3,115,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-01 06:00 PM,2023,05,01,18,44.1,122,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-01 07:00 PM,2023,05,01,19,44.0,122,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-01 08:00 PM,2023,05,01,20,46.2,127,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-01 09:00 PM,2023,05,01,21,49.7,136,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-01 10:00 PM,2023,05,01,22,47.8,131,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-01 11:00 PM,2023,05,01,23,44.3,123,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-02 12:00 AM,2023,05,02,00,43.0,119,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-02 01:00 AM,2023,05,02,01,42.6,118,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-02 02:00 AM,2023,05,02,02,43.1,120,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-02 03:00 AM,2023,05,02,03,42.7,119,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-02 04:00 AM,2023,05,02,04,41.5,116,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-02 05:00 AM,2023,05,02,05,40.7,114,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-02 06:00 AM,2023,05,02,06,41.4,116,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-02 07:00 AM,2023,05,02,07,40.6,114,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-02 08:00 AM,2023,05,02,08,40.1,112,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-02 09:00 AM,2023,05,02,09,41.7,116,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-02 10:00 AM,2023,05,02,10,43.4,120,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-02 11:00 AM,2023,05,02,11,44.1,122,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-02 12:00 PM,2023,05,02,12,43.1,120,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-02 01:00 PM,2023,05,02,13,41.3,115,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-02 02:00 PM,2023,05,02,14,40.9,114,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-02 03:00 PM,2023,05,02,15,34.8,99,Moderate,28.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-02 04:00 PM,2023,05,02,16,35.3,100,Moderate,36.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-02 05:00 PM,2023,05,02,17,26.4,81,Moderate,18.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-02 06:00 PM,2023,05,02,18,24.7,77,Moderate,23.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-02 07:00 PM,2023,05,02,19,26.3,81,Moderate,28.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-02 08:00 PM,2023,05,02,20,29.6,88,Moderate,33.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-02 09:00 PM,2023,05,02,21,28.3,85,Moderate,27.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-02 10:00 PM,2023,05,02,22,27.6,84,Moderate,27.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-02 11:00 PM,2023,05,02,23,27.8,84,Moderate,28.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-03 12:00 AM,2023,05,03,00,29.4,87,Moderate,31.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-03 01:00 AM,2023,05,03,01,28.7,86,Moderate,28.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-03 02:00 AM,2023,05,03,02,26.3,81,Moderate,24.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-03 03:00 AM,2023,05,03,03,24.1,76,Moderate,22.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-03 04:00 AM,2023,05,03,04,25.1,78,Moderate,26.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-03 05:00 AM,2023,05,03,05,25.0,78,Moderate,24.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-03 06:00 AM,2023,05,03,06,26.0,80,Moderate,28.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-03 07:00 AM,2023,05,03,07,25.3,79,Moderate,24.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-03 08:00 AM,2023,05,03,08,27.0,82,Moderate,31.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-03 09:00 AM,2023,05,03,09,27.0,82,Moderate,27.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-03 10:00 AM,2023,05,03,10,26.1,80,Moderate,24.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-03 11:00 AM,2023,05,03,11,23.2,74,Moderate,19.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-03 12:00 PM,2023,05,03,12,26.2,81,Moderate,31.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-03 01:00 PM,2023,05,03,13,32.3,93,Moderate,38.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-03 02:00 PM,2023,05,03,14,29.6,88,Moderate,27.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-03 03:00 PM,2023,05,03,15,27.8,84,Moderate,26.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-03 04:00 PM,2023,05,03,16,26.4,81,Moderate,25.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-03 05:00 PM,2023,05,03,17,26.2,81,Moderate,26.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-03 06:00 PM,2023,05,03,18,25.6,79,Moderate,25.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-03 07:00 PM,2023,05,03,19,26.3,81,Moderate,27.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-03 08:00 PM,2023,05,03,20,28.1,85,Moderate,30.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-03 09:00 PM,2023,05,03,21,27.5,83,Moderate,27.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-03 10:00 PM,2023,05,03,22,22.2,72,Moderate,17.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-03 11:00 PM,2023,05,03,23,21.6,71,Moderate,21.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-04 12:00 AM,2023,05,04,00,20.8,69,Moderate,20.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-04 01:00 AM,2023,05,04,01,20.6,69,Moderate,20.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-04 02:00 AM,2023,05,04,02,19.0,66,Moderate,17.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-04 03:00 AM,2023,05,04,03,18.1,64,Moderate,17.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-04 04:00 AM,2023,05,04,04,18.9,65,Moderate,20.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-04 05:00 AM,2023,05,04,05,19.4,66,Moderate,20.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-04 06:00 AM,2023,05,04,06,22.2,72,Moderate,26.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-04 07:00 AM,2023,05,04,07,25.6,79,Moderate,30.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-04 08:00 AM,2023,05,04,08,28.8,86,Moderate,32.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-04 09:00 AM,2023,05,04,09,31.5,92,Moderate,34.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-04 10:00 AM,2023,05,04,10,35.7,101,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-04 11:00 AM,2023,05,04,11,35.9,102,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-04 12:00 PM,2023,05,04,12,40.4,113,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-04 01:00 PM,2023,05,04,13,40.7,114,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-04 02:00 PM,2023,05,04,14,38.3,108,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-04 03:00 PM,2023,05,04,15,37.1,105,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-04 04:00 PM,2023,05,04,16,37.5,106,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-04 05:00 PM,2023,05,04,17,34.8,99,Moderate,31.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-04 06:00 PM,2023,05,04,18,34.9,99,Moderate,34.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-04 07:00 PM,2023,05,04,19,36.6,104,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-04 08:00 PM,2023,05,04,20,35.2,100,Moderate,32.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-04 09:00 PM,2023,05,04,21,33.4,96,Moderate,30.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-04 10:00 PM,2023,05,04,22,33.2,95,Moderate,33.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-04 11:00 PM,2023,05,04,23,32.4,94,Moderate,31.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-05 12:00 AM,2023,05,05,00,29.9,88,Moderate,26.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-05 01:00 AM,2023,05,05,01,28.6,86,Moderate,26.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-05 02:00 AM,2023,05,05,02,29.1,87,Moderate,30.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-05 03:00 AM,2023,05,05,03,28.7,86,Moderate,28.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-05 04:00 AM,2023,05,05,04,27.2,83,Moderate,25.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-05 05:00 AM,2023,05,05,05,29.0,87,Moderate,32.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-05 06:00 AM,2023,05,05,06,29.7,88,Moderate,31.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-05 07:00 AM,2023,05,05,07,30.0,89,Moderate,32.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-05 08:00 AM,2023,05,05,08,31.5,92,Moderate,35.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-05 09:00 AM,2023,05,05,09,38.1,107,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-05 10:00 AM,2023,05,05,10,41.8,117,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-05 11:00 AM,2023,05,05,11,44.9,124,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-05 12:00 PM,2023,05,05,12,46.4,128,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-05 01:00 PM,2023,05,05,13,48.8,134,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-05 02:00 PM,2023,05,05,14,45.4,125,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-05 03:00 PM,2023,05,05,15,46.7,129,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-05 04:00 PM,2023,05,05,16,45.5,126,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-05-05 05:00 PM,2023,05,05,17,43.3,120,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
