Site,Parameter,Date (LT),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Mumbai,PM2.5 - Principal,2016-02-01 07:00 AM,2016,02,01,07,81.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-02-01 08:00 AM,2016,02,01,08,238.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-02-01 09:00 AM,2016,02,01,09,270.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-02-01 10:00 AM,2016,02,01,10,170.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-02-01 11:00 AM,2016,02,01,11,140.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-02-01 12:00 PM,2016,02,01,12,139.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-02-01 01:00 PM,2016,02,01,13,124.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-02-01 02:00 PM,2016,02,01,14,104.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-02-01 03:00 PM,2016,02,01,15,88.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-02-01 04:00 PM,2016,02,01,16,80.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-02-01 05:00 PM,2016,02,01,17,74.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-02-01 06:00 PM,2016,02,01,18,77.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-02-01 07:00 PM,2016,02,01,19,100.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-02-01 08:00 PM,2016,02,01,20,116.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-02-01 09:00 PM,2016,02,01,21,124.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2016-02-01 10:00 PM,2016,02,01,22,111.0,UG/M3,1 Hr,Valid
